"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","YEAR","MONTH",
0.00,14635,"RSW","FL","MIA","FL",2020,1,
0.00,14635,"RSW","FL","SRQ","FL",2020,1,
0.00,14685,"SAV","GA","HHH","SC",2020,1,
0.00,15016,"STL","MO","CID","IA",2020,1,
0.00,13029,"LNK","NE","ORD","IL",2020,1,
0.00,13029,"LNK","NE","EWR","NJ",2020,1,
0.00,11066,"CMH","OH","DFW","TX",2020,1,
0.00,11618,"EWR","NJ","LNK","NE",2020,1,
0.00,11618,"EWR","NJ","IAH","TX",2020,1,
0.00,11618,"EWR","NJ","TUL","OK",2020,1,
0.00,13871,"OMA","NE","LNK","NE",2020,1,
0.00,13244,"MEM","TN","MSY","LA",2020,1,
0.00,11624,"EYW","FL","PBI","FL",2020,1,
0.00,10821,"BWI","MD","PHL","PA",2020,1,
0.00,10821,"BWI","MD","LGA","NY",2020,1,
0.00,10821,"BWI","MD","DCA","VA",2020,1,
0.00,11003,"CID","IA","EWR","NJ",2020,1,
0.00,11057,"CLT","NC","MIA","FL",2020,1,
0.00,11057,"CLT","NC","SAV","GA",2020,1,
0.00,12339,"IND","IN","MSP","MN",2020,1,
0.00,12339,"IND","IN","MCI","MO",2020,1,
0.00,14122,"PIT","PA","CMH","OH",2020,1,
0.00,14122,"PIT","PA","MSY","LA",2020,1,
0.00,10693,"BNA","TN","SAT","TX",2020,1,
0.00,12953,"LGA","NY","BDL","CT",2020,1,
0.00,15370,"TUL","OK","DFW","TX",2020,1,
0.00,14730,"SDF","KY","SAT","TX",2020,1,
0.00,14730,"SDF","KY","RSW","FL",2020,1,
0.00,10257,"ALB","NY","PHL","PA",2020,1,
0.00,10785,"BTV","VT","ALB","NY",2020,1,
0.00,10994,"CHS","SC","BWI","MD",2020,1,
0.00,10994,"CHS","SC","PBI","FL",2020,1,
0.00,11278,"DCA","VA","IAD","VA",2020,1,
0.00,11278,"DCA","VA","DFW","TX",2020,1,
