"","country_code","country_name","pop","lat","lon","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Deaths","Confirmed","Recovered","Active","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","Testing_Rate","Hospitalization_Rate","school_closing","school_closing_flag","school_closing_notes","workplace_closing","workplace_closing_flag","workplace_closing_notes","cancel_public_events","cancel_public_events_flag","cancel_public_events_notes","restrictions_on_gatherings","restrictions_on_gatherings_flag","restrictions_on_gatherings_notes","close_public_transit","close_public_transit_flag","close_public_transit_notes","stay_at_home_requirements","stay_at_home_requirements_flag","stay_at_home_requirements_notes","restrictions_on_internal_movement","restrictions_on_internal_movement_flag","restrictions_on_internal_movement_notes","international_travel_controls","international_travel_controls_notes","income_support","income_support_flag","income_support_notes","debt_contract_relief","debt_contract_relief_notes","fiscal_measures","fiscal_measures_notes","international_support","international_support_notes","public_information_campaigns","public_information_campaigns_flag","public_information_campaigns_notes","testing_policy","testing_policy_notes","contact_tracing","contact_tracing_notes","emergency_healthcare_investment","emergency_healthcare_investment_notes","vaccine_investment","vaccine_investment_notes","misc_wildcard_notes","stringency_index","ID"
"1","US","United States",705749,38.9071923,-77.0368707,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US, NA"
"2","US","United States",705749,38.9071923,-77.0368707,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US, NA"
"3","US","United States",705749,38.9071923,-77.0368707,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US, NA"
"4","US","United States",705749,38.9071923,-77.0368707,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US, NA"
"5","AA","Aruba",119428,12.52111,-69.968338,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AA, NA"
"6","AC","Antigua and Barbuda",98179,17.060816,-61.796428,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC, NA"
"7","AE","United Arab Emirates",9992083,23.424076,53.847818,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"[T]he UAE has been under an overnight curfew since March 26 - could not find evidence of restrictions prior to that;  https://web.archive.org/web/20200430174227/https://www.thesun.co.uk/news/11304061/uk-coronavirus-lockdown-month-lasted-start-end/","0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,"The UAE gave in kind support to 47 countries, amounting to 523 tonnes of medical and food aid, as well as 523,000 medical professionals assisted   https://reliefweb.int/sites/reliefweb.int/files/resources/UAE%20-%20Humanitarian%20aid%20and%20efforts%20to%20combat%20COVID-19%20-%2012%20May%202020%20%5BEN-AR%5D.pdf","0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AE, NA"
"8","AF","Afghanistan",36643815,33.93911,67.709953,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,"https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures","0.00",NA,"Form January 1 to March 25th, there were no closure of workplace. The first cities in Afghanistan that went into daytime curfew were three provinces, bordering Iran: On Wednesday (March 25), authorities placed Herat, Zaranj (capital of Nimroz province) and Farah (capital of Farah province) under daytime curfews. https://www.aljazeera.com/news/2020/03/coronavirus-herat-emerges-afghanistan-epicentre-200325032420910.html","0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"Prior to March 25, 2020, there were no restrictions in Afghanistan regarding public transportation.     Source: anecdotal information from conversations with people in Afghanistan.   And:  For weeks, the Ministry of Public Health had asked the Kabul government to order the complete shutdown of the city of Herat, a measure initially rejected by officials in Herat and Kabul, in spite of having gained public support online: https://www.aljazeera.com/news/2020/03/coronavirus-herat-emerges-afghanistan-epicentre-200325032420910.html ","0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AF, NA"
"9","AG","Algeria",42972878,28.033886,1.659626,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AG, NA"
"10","AJ","Azerbaijan",10205810,40.143105,47.576927,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AJ, NA"
"11","AL","Albania",3074579,41.153332,20.168331,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AL, NA"
"12","AM","Armenia",3021324,40.069099,45.038189,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AM, NA"
"13","AN","Andorra",85635,42.546245,1.601554,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AN, NA"
"14","AO","Angola",32522339,-11.202692,17.873887,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AO, NA"
"15","AQ","American Samoa",49437,-14.270972,-170.132217,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AQ, NA"
"16","AR","Argentina",45479118,-38.416097,-63.616672,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AR, NA"
"17","AS","Australia",23938599,-25.274398,133.775136,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00","No cases reported/confirmed in Australia until 25 January 2020.","0.00","No cases reported/confirmed in Australia until 25 January 2020.",0,NA,0,NA,NA,0,"AS, NA"
"18","AU","Austria",8859449,47.516231,14.550072,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"AU, NA"
"19","AV","Anguilla",18090,18.220554,-63.068615,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,"There is no data suggesting restrictions in place at this time.","0.00",NA,"There is no data suggesting restrictions in place at this time.","0.00",NA,"No data suggests restrictions are present.    ","0.00",NA,"There is no data suggesting restrictions in place at this time.","0.00",NA,"No public transport is available on Anguilla.    http://web.archive.org/web/20200812093339/https://www.lonelyplanet.com/anguilla/narratives/practical-information/transport/getting-around","0.00",NA,"There is no data suggesting restrictions in place at this time.","0.00",NA,NA,"0.00",NA,"0.00",NA,"No measures in place.","0.00","No measures reported on Government website.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"AV, NA"
"20","BA","Bahrain",1505003,25.930414,50.637772,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BA, NA"
"21","BB","Barbados",294560,13.193887,-59.543198,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BB, NA"
"22","BC","Botswana",2317233,-22.328474,24.684866,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,"President Masisi announced school closures on 19/3/2020 to begin the next day, 20/3/2020. https://www.facebook.com/BotswanaGovernment/posts/2832225860193387","0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"1.00","1","Online public health website notification (http://web.archive.org/web/20200322110625/https://www.moh.gov.bw/coronavirus.html) and travellers posters (https://www.moh.gov.bw/Publications/coronavirus/Travellers_poster.pdf)","0.00",NA,"0.00",NA,0,NA,0,NA,NA,5.56,"BC, NA"
"23","BD","Bermuda",71750,32.321384,-64.75737,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BD, NA"
"24","BE","Belgium",11720716,50.503887,4.469936,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,NA,"0.00",NA,0,NA,0,NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,0,NA,0,NA,NA,0,"BE, NA"
"25","BF","The Bahamas",337721,25.03428,-77.39628,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BF, NA"
